# Date:     2024-01-15 15:59:54
# Database: ocvs
# Target:   lmc_t2cep
# Query:    TRUE 
# Objects:  291
# Columns:
# ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	P_2	dP_2	T0_2	A_2	R21_2	phi21_2	R31_2	phi31_2	P_3	dP_3	T0_3	A_3	R21_3	phi21_3	R31_3	phi31_3	Remarks
OGLE-LMC-T2CEP-001	BLHer	4.637592	-68.258889	-99.99	LMC154.1.4967	LMC539.30.471	-99.99	17.755	18.440	0.685	1.8139278	0.0000043	7000.65269	0.353	0.066	4.638	0.187	2.187	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-002	WVir	4.709433	-68.617694	-99.99	LMC148.3.131	LMC539.20.83	-99.99	15.727	16.732	1.005	18.3261550	0.0003627	7014.11206	0.937	0.135	6.033	0.045	4.027	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-003	RVTau	4.718208	-66.826694	-99.99	LMC145.6.3272	LMC541.05.12	-99.99	14.152	14.922	0.770	35.9207531	0.0070192	7028.56239	0.445	0.187	6.003	0.076	5.506	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-004	BLHer	4.745467	-68.089250	-99.99	LMC147.2.8596	LMC539.27.10333	-99.99	17.573	-99.99	-99.99	1.9160513	0.0000043	7000.48890	0.811	0.480	4.710	0.278	2.223	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-005	RVTau	4.802314	-69.853944	-99.99	LMC143.2.10081	LMC531.06.30	LMV1314 HV12455	14.765	-99.99	-99.99	33.0870553	0.0025617	7009.26901	0.907	0.129	6.281	0.014	0.018	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-006	BLHer	4.830242	-67.422389	-99.99	LMC139.3.412	LMC533.07.10621	-99.99	18.012	18.504	0.492	1.0879277	0.0000015	7000.85463	0.482	0.234	4.644	0.089	2.784	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-007	BLHer	4.847347	-69.323222	-99.99	LMC135.7.21276	LMC531.13.17693	-99.99	18.017	18.597	0.580	1.2426900	0.0000024	7000.62179	0.501	0.247	4.464	0.070	4.412	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-008	BLHer	4.848558	-69.844444	-99.99	-99.99	LMC531.05.4686	-99.99	17.800	18.569	0.769	1.7461197	0.0000033	7000.19681	0.517	0.206	5.255	0.175	2.628	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-009	BLHer	4.877797	-67.156750	-99.99	LMC131.8.558	-99.99	-99.99	17.762	18.379	0.617	1.7613471	0.0000027	7001.31977	0.730	0.444	4.582	0.245	1.898	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-010	BLHer	4.902944	-68.557472	-99.99	LMC134.3.20792	LMC532.04.6617	-99.99	17.971	18.671	0.700	1.5029525	0.0000022	7000.13200	0.621	0.308	4.396	0.070	0.409	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-011	RVTau	4.910750	-67.503389	-99.99	LMC132.7.12075	LMC532.28.31973	-99.99	14.072	14.820	0.748	39.3133221	0.0097987	7020.55615	0.195	0.195	5.955	0.002	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-012	WVir	4.915939	-68.483972	-99.99	LMC134.4.4856	LMC532.03.37580	-99.99	16.214	17.187	0.973	11.5779374	0.0007239	7011.02729	0.239	0.097	1.666	0.071	1.857	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-013	WVir	4.923444	-69.928722	-99.99	LMC136.2.15823	LMC530.26.30780	-99.99	16.163	17.134	0.971	11.5313986	0.0004149	7002.16756	0.271	0.117	1.830	0.088	2.549	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-014	RVTau	4.926503	-69.901167	-99.99	LMC136.2.15650	LMC531.02.24248	-99.99	14.301	15.143	0.842	57.4712644	0.0539338	7007.47241	0.086	0.181	2.351	0.099	4.616	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-015	RVTau	4.928683	-67.852778	-99.99	LMC133.4.35	LMC532.20.10181	-99.99	14.022	15.164	1.142	56.4844103	0.0260914	7011.90578	0.406	0.165	5.516	0.085	6.104	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	swiched deep and shallow minima
OGLE-LMC-T2CEP-016	RVTau	4.929442	-69.129528	-99.99	LMC135.3.35452	LMC531.19.44776	-99.99	15.454	15.883	0.429	20.3047417	0.0017605	7008.38099	0.166	0.558	5.292	0.097	5.701	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-017	WVir	4.937783	-68.271222	-99.99	LMC133.1.25240	LMC532.11.5346	-99.99	15.995	-99.99	-99.99	14.4564533	0.0019269	7014.26678	0.856	0.098	0.078	0.112	3.021	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-018	BLHer	4.974944	-69.408111	-99.99	LMC127.8.41912	LMC531.09.13980	-99.99	17.959	18.634	0.675	1.3796240	0.0000019	7000.81281	0.615	0.321	4.349	0.032	5.558	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-019	pWVir	4.980397	-68.074361	-99.99	LMC125.7.27931	LMC532.09.17812	-99.99	15.989	16.850	0.861	8.6732691	0.0000767	7002.91023	0.633	0.285	5.477	0.083	4.405	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	
OGLE-LMC-T2CEP-020	BLHer	4.985036	-67.756833	-99.99	LMC124.8.5103	LMC532.26.1587D	-99.99	17.814	-99.99	-99.99	1.1081258	0.0000254	7000.87096	0.561	0.362	4.752	0.112	2.724	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	in globular cluster NGC 1786
